Rk,Player,Tm,Age,G,GS,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
202,Jeremy Hill,CIN,22,2,0,2,22,11.0,0,18,1.0,11.0,0
203,Steven Jackson,ATL,31,2,2,2,7,3.5,0,7,1.0,3.5,0
204,Damaris Johnson,HOU,25,2,2,2,5,2.5,0,4,1.0,2.5,1
205,Maurice Jones-Drew,OAK,29,1,1,2,12,6.0,0,10,2.0,12.0,1
206,Ricardo Lockette,SEA,28,2,0,2,38,19.0,1,33,1.0,19.0,0
207,Jordan Matthews,PHI,22,1,0,2,37,18.5,0,30,2.0,37.0,0
208,Dexter McCluster,TEN,25,2,0,2,26,13.0,0,17,1.0,13.0,0
209,Jerick McKinnon,MIN,22,2,0,2,5,2.5,0,3,1.0,2.5,0
210,David Nelson,NYJ,28,2,2,2,23,11.5,0,17,1.0,11.5,0
211,Chris Owusu,TAM,24,2,0,2,20,10.0,1,19,1.0,10.0,0
212,Logan Paulsen,WAS,27,2,2,2,0,0.0,0,3,1.0,0.0,0
213,Adrian Peterson,MIN,29,1,1,2,18,9.0,0,9,2.0,18.0,0
214,Bilal Powell,NYJ,26,2,0,2,32,16.0,0,20,1.0,16.0,0
215,Stevan Ridley,NWE,25,2,2,2,7,3.5,0,4,1.0,3.5,0
216,Dante Rosario,CHI,30,2,0,2,21,10.5,0,12,1.0,10.5,0
217,Jeremy Ross,DET,26,2,2,2,23,11.5,0,14,1.0,11.5,1
218,Dane Sanzenbacher,CIN,26,2,0,2,42,21.0,0,26,1.0,21.0,0
219,James Starks,GNB,28,2,0,2,11,5.5,0,11,1.0,5.5,0
220,Devin Street,DAL,23,2,0,2,18,9.0,0,9,1.0,9.0,0
221,Taylor Thompson,TEN,25,2,0,2,24,12.0,0,13,1.0,12.0,0
222,Robert Turbin,SEA,25,2,0,2,35,17.5,1,32,1.0,17.5,0
223,Bryan Walters,SEA,27,2,0,2,17,8.5,0,17,1.0,8.5,0
